title,company,location,salary,tech_tags,requirements,source,job_url
"AI大模型研发工程师-26届校招 (MJ000357)","EDA国创中心","南京江宁区银城INC中心1号楼8-12层","13-20K·14薪","LLM; Python; FastAPI; Flask; langchain; dify; fastGPT; Redis; MQ; MySQL; Qdrant; Weaviate; Zilliz","Entry-level AI/ML engineering role requiring foundational knowledge in large language models, Python programming, web frameworks, and vector databases for AI application development.","Boss直聘","https://www.zhipin.com/job_detail/92b742e5ae08071b0nZ62929F1ZW.html"
"ai工程师（实习）","成都三秋科技","成都武侯区商鼎国际1号楼A座2008","3-5K·13薪","LLM; RAG; Python; Go; PyTorch; TensorFlow; Docker; Kubernetes; langchain; dify; coze; fastgpt","Entry-level AI engineering role focusing on LLM-based agent architecture, RAG, and deployment, requiring knowledge in Python/Go, deep learning frameworks, and container technologies.","Boss直聘","https://www.zhipin.com/job_detail/966e6348022af66903Ny3dq6FlZV.html"
"AI工程师（26届可投）","凡岛","重庆渝中区环球金融中心写字楼a","15-20K","AI; Machine Learning; NLP; PyTorch; TensorFlow; SQL; pandas; numpy; Linux; 大模型微调; 多模态模型; 数字人开发; ChatGPT; GLM","Entry-level AI engineering role requiring foundational knowledge in AI, machine learning, NLP, and experience with PyTorch, TensorFlow, SQL, and Linux, along with project experience in large model fine-tuning, multimodal models, and digital human development.","Boss直聘","https://www.zhipin.com/job_detail/9dac526a9db45d540nR_29S-FlpU.html"
"AI工程师","多益网络","广州黄埔区保利·鱼珠港G1","12-16K·13薪","NLP; LLM; AI MaaS; AI中台; 自动化机器学习平台","Entry-level AI engineering role requiring foundational knowledge in AI technologies, including NLP and large language models, with responsibilities in AI platform development and solution implementation.","Boss直聘","https://www.zhipin.com/job_detail/ad497c1cbb1912210nVz0t65E1ZY.html"
"AI 工程师","北京微奇点科技有限公司","温州瓯海区天润大厦10B06","5-7K","AI; OpenAI API; Gemini API; Cursor; Python; HTML5; JavaScript","Entry-level AI engineering role requiring foundational knowledge in AI, Python, HTML5, JavaScript, and experience with OpenAI API, Gemini API, and Cursor for AI product development and problem-solving.","Boss直聘","https://www.zhipin.com/job_detail/b2f0ee49fa4c564203B42N-_GFVZ.html"
"AI工程师（应届生）","北京诺亦腾机器人科技","深圳南山区华润置地大厦D座05","15-30K","AI; Agent; RAG; Function Calling; Tools; Jira; Salesforce; GitHub; ERP; Slack; Teams; Self-correction loops; Multi-step reasoning; Automated testing","Entry-level AI engineering role requiring AI-related project experience or solid AI knowledge, strong self-learning ability, and a background in science or engineering, with a preference for PhD candidates.","Boss直聘","https://www.zhipin.com/job_detail/b4733e72e33e65720nV4392-EFNZ.html"
"【居家办公】AI大模型实习生","江苏翼企云","南京雨花台区南京软件谷科创城远程办公","4-5K","LLM; RAG; Prompt Engineering; OpenAI; Java","Entry-level AI/ML engineering role requiring foundational knowledge in machine learning, programming in Java, and experience with large language models and RAG systems for AI recruitment applications.","Boss直聘","https://www.zhipin.com/job_detail/ba86e5ab572de2750nVz2920GFtU.html"
"校招-AI应用工程师","契约锁","上海浦东新区世博天地写字楼T1-11F","12-20K·15薪","AI; Machine Learning; LLM; Python; Golang; Java; C++; Agent; Copilot; Prompt Engineering; Vector Database; Milvus; Pinecone; Knowledge Graph; API; AWS; Azure; 阿里云","Entry-level AI application engineering role requiring a degree in computer science or related fields, proficiency in programming languages like Python, and foundational knowledge in AI/ML, LLM fine-tuning, and cloud services.","Boss直聘","https://www.zhipin.com/job_detail/be29d45b41cf8dfa03N_09i9ElFV.html"
"26校招-AI应用工程师","华为","北京昌平区好未来大楼三层","20-26K·14薪","AI; Machine Learning; Computer Vision; Natural Language Processing; TensorFlow; PyTorch; Python; Java; C++; Distributed Computing; Model Compression","Entry-level AI application engineering role requiring foundational knowledge in AI algorithms, proficiency in Python/Java/C++ and TensorFlow/PyTorch, and experience in computer vision or natural language processing.","Boss直聘","https://www.zhipin.com/job_detail/cbc2fb666135964b0nR93Nm_FFdZ.html"
"校招- AI 网络通信研发工程师","华为","南京建邺区国秀广场-5栋B303","15-30K·15薪","AI; NCCL; MPI; PyTorch; TensorFlow; RDMA; RoCE; InfiniBand; Linux; C++; Go","Entry-level role requiring foundational knowledge in AI collective communication libraries, operating systems, and network protocols, with skills in C/C++/Go programming and experience in distributed training or high-performance computing.","Boss直聘","https://www.zhipin.com/job_detail/d35f5867b335d6570nV-2924GVVR.html"
"蚂蚁AI工程师2027校招【北京】","第四范式","北京海淀区蚂蚁T空间14层","28-55K·15薪","AI; LLM; RAG; AI Agent; MCP; Skill; CodeFuse","Entry-level AI engineering role for 2027 graduates, focusing on applying AI and large models to develop tools like AI Agents and RAG systems for software development, requiring foundational knowledge in AI and software engineering.","Boss直聘","https://www.zhipin.com/job_detail/d8f149f5a0c7b41f0nZ629S5EVpR.html"
"实习AI工程师","公司名称五六零人工智能科技（北海）有限公司","北海海城区北海银河城市科技产业城704","2-3K","AI; Machine Learning; LLM; NLP; CV; Docker; Python; GitHub","Entry-level AI engineering role requiring foundational knowledge in AI technologies, including large models, AI painting, and AI voice, with a focus on learning and applying skills in real-world projects under guidance.","Boss直聘","https://www.zhipin.com/job_detail/dad7d7aebfb9e4040nVz3dW5F1FU.html"
"多模态大模型算法工程师-26届校招补录","美团","北京朝阳区亚洲金融大厦e座","25-40K·15薪","多模态; 大模型; 计算机视觉; AIGC; 深度学习; 机器学习; Python; C++; C; Linux","Entry-level role requiring a master's degree or higher, strong mathematical foundation, knowledge in computer vision, AIGC, multimodal, and deep learning, proficiency in programming languages like Python, C++, or C, and experience with large models or research publications is preferred.","Boss直聘","https://www.zhipin.com/job_detail/dc1293f99a8811f50nRz09y8EVtT.html"
"（青岛双休）AI工程师","青岛恒智信科信息科技","青岛市南区华通中联云芯产业园延安三路109号","8-13K","Python; AI; Machine Learning; Deep Learning; NLP; CV; Agent; MCP; MySQL; MongoDB; Linux","Entry-level AI engineering role requiring foundational knowledge in Python, data structures, algorithms, and databases, with preference for AI/ML project experience in NLP, CV, or Agent development.","Boss直聘","https://www.zhipin.com/job_detail/df68631ea22ef21f0nR90t67EFJV.html"
"2026届校招-AI算法工程师（北京）(J14532)","华为技术有限公司","北京海淀区颐泉汇B座A","23-26K·14薪","AI; Machine Learning; Python; TensorFlow; PyTorch; Scikit-learn; Neural Networks; NLP; LLM; Prompt Tuning","Entry-level AI algorithm engineering role requiring 2026 graduate in computer science or related fields, proficiency in Python and machine learning frameworks, deep understanding of machine learning, neural networks, and NLP, with knowledge of large language models and prompt tuning.","Boss直聘","https://www.zhipin.com/job_detail/e3c02787b7573a9803x-2dm-ElpU.html"
"AI 应用工程师（校招）","湖南设计","长沙望城区安克虚拟数字影棚2层","10-12K","AI; Machine Learning; Deep Learning; 具身智能; 大模型应用; 训练自动化; AIGC; 三维可视化","Entry-level AI application engineering role requiring foundational knowledge in machine learning, deep learning algorithms, programming skills, and interest in AI frameworks, with a focus on 3D visualization and AI integration for recent graduates.","Boss直聘","https://www.zhipin.com/job_detail/e66c6c85a3562ab10nVz0t6_GFZR.html"
"算法工程师（LLM方向）（秋招岗）","金山办公软件","珠海香洲区清华科技园-4号楼清华科技园4号楼705","25-30K","LLM; NLP; PyTorch; TensorFlow; Megatron-LM; DeepSpeed; Transformer; SFT; RLHF; LoRA; Prefix-Tuning; TensorRT; ONNXRuntime; vLLM; SGLang","Entry-level role requiring a bachelor's or higher in computer science or related fields, with deep understanding of LLM development, including SFT, RLHF, and proficiency in PyTorch, TensorFlow, and distributed training tools.","Boss直聘","https://www.zhipin.com/job_detail/f497b0236eb0b1c503153N29GVZT.html"
"软件工程师-校招岗","华为","南京浦口区光电科技园A栋","16-25K·15薪","C++; MATLAB; Python; C#; STL; MFC; Git; 深度学习; GPU异构计算; 数字信号处理; 三维图像; 光学算法","Entry-level AI/ML engineering role requiring a master's degree in relevant fields, strong mathematical and programming skills in C++, Python, and others, with experience in algorithm optimization, deep learning, and GPU computing preferred.","Boss直聘","https://www.zhipin.com/job_detail/f5eb642ddcbabefd1HV829u-GVVY.html"
"可转正实习-AI工程师","北京中普友通","北京朝阳区中海国际中心A座","11-14K","Python; SQL; n8n; dify; fastgpt; coze; autogen; AI; Machine Learning","Entry-level AI engineering role requiring proficiency in Python and SQL, experience with low-code AI workflow platforms like n8n and dify, and knowledge of AI applications and frameworks such as autogen.","Boss直聘","https://www.zhipin.com/job_detail/fa13bb551f65e7c3031709q-EVNU.html"
